Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Salif Boudie,ASU,.646,.590,233.2,0.107,0.184,0.14400000000000002,0.033,0.237,0.017,0.055,0.126,-5.0,1.8,115.7,103.7,12.0,134.2,14.8,0.646,0.59,233.2,-5,1.8,115.7,103.7,12,134.2,14.8
A.J. Harris,NMSU,.527,.511,144.1,0.022000000000000002,0.067,0.044000000000000004,0.239,0.151,0.022000000000000002,0.001,0.207,2.5,1.1,112.5,97.5,15.1,202.2,14.7,0.527,0.511,144.1,2.5,1.1,112.5,97.5,15.1,202.2,14.7
Marvin Cannon,WSU,.586,.491,161.4,0.059000000000000004,0.12,0.09,0.05,0.152,0.013999999999999999,0.037000000000000005,0.185,-3.7,1.5,112.6,109.9,2.7,173.6,14.7,0.586,0.491,161.4,-3.7,1.5,112.6,109.9,2.7,173.6,14.7
Lamonte Turner,UT,.542,.516,152.5,0.011000000000000001,0.085,0.05,0.2,0.13,0.024,0.004,0.188,3.3,1.2,113.6,104.7,8.9,218.1,14.7,0.542,0.516,152.5,3.3,1.2,113.6,104.7,8.9,218.1,14.7
Karlis Silins,FAU,.622,.591,162.0,0.08800000000000001,0.146,0.11699999999999999,0.07,0.235,0.006,0.034,0.193,-7.0,1.6,105.9,98.0,7.9,140.0,14.7,0.622,0.591,162,-7,1.6,105.9,98,7.9,140,14.7
Bryson Robinson,UNO,.549,.517,152.1,0.031,0.08199999999999999,0.055999999999999994,0.19899999999999998,0.183,0.026000000000000002,0.011000000000000001,0.23,-2.2,1.2,103.9,100.8,3.0,209.2,14.7,0.549,0.517,152.1,-2.2,1.2,103.9,100.8,3,209.2,14.7
Diandre Wilson,NJIT,.558,.493,152.4,0.013999999999999999,0.094,0.055,0.11599999999999999,0.125,0.017,0.006,0.21600000000000003,-1.4,1.4,108.6,102.8,5.7,212.5,14.7,0.558,0.493,152.4,-1.4,1.4,108.6,102.8,5.7,212.5,14.7
Nate Laszewski,ND,.536,.508,145.0,0.07400000000000001,0.14400000000000002,0.10800000000000001,0.024,0.078,0.006999999999999999,0.02,0.19,-2.2,1.2,112.4,105.9,6.4,155.2,14.7,0.536,0.508,145,-2.2,1.2,112.4,105.9,6.4,155.2,14.7
A.J. Green,UNI,.522,.489,162.2,0.015,0.11,0.062,0.19699999999999998,0.162,0.013000000000000001,0.002,0.312,-4.4,1.1,95.9,102.6,-6.7,193.9,14.7,0.522,0.489,162.2,-4.4,1.1,95.9,102.6,-6.7,193.9,14.7
Caleb Tanner,RU,.652,.644,162.8,0.005,0.057999999999999996,0.031,0.066,0.092,0.006999999999999999,0,0.17800000000000002,-0.8,1.4,125.2,108.8,16.4,137.6,14.7,0.652,0.644,162.8,-0.8,1.4,125.2,108.8,16.4,137.6,14.7
Reggie Chaney,U of A,.552,.553,106.8,0.08199999999999999,0.157,0.12,0.09,0.217,0.021,0.099,0.185,-5.1,1.2,96.4,96.6,-0.2,160.6,14.7,0.552,0.553,106.8,-5.1,1.2,96.4,96.6,-0.2,160.6,14.7
